,species_richness,ornamentation,environmental_breadth,geographic_range,occurrence,body_size,survival_status,lithology_carbonate,lithology_mixed,lithology_others,lithology_siliciclastic,life_mode_epifaunal,life_mode_infaunal,life_mode_semi-infaunal,motility_mobile,motility_stationary,feeding_mode_carnivore,feeding_mode_chemosymbiotic,feeding_mode_deposit feeder,feeding_mode_herbivore,feeding_mode_photosymbiotic,feeding_mode_suspension feeder,shell_mineralogy_aragonite,shell_mineralogy_low Mg calcite
109,0.20000000000000004,0.0,0.5,0.14285714285714285,0.08865979381443298,0.5328869286258472,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
110,0.1,0.5,0.33333333333333337,0.07142857142857142,0.024742268041237116,0.3391750267479915,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
111,0.0,0.0,0.16666666666666666,0.07142857142857142,0.002061855670103093,0.6008461950424494,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
112,0.0,0.0,0.0,0.0,0.0,0.5256617162042291,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
113,0.30000000000000004,1.0,0.6666666666666666,0.7142857142857143,0.2927835051546392,0.83982985755375,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
114,0.1,1.0,0.33333333333333337,0.14285714285714285,0.0041237113402061865,0.6830728954912283,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
115,0.0,0.0,0.33333333333333337,0.14285714285714285,0.016494845360824743,0.8339119089849305,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
116,0.0,0.5,0.16666666666666666,0.0,0.002061855670103093,0.5740781222625303,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
117,0.0,0.5,0.16666666666666666,0.07142857142857142,0.002061855670103093,0.5457635024414361,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
118,0.0,0.0,0.33333333333333337,0.14285714285714285,0.008247422680412371,0.48334438685405257,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
119,0.1,0.0,0.6666666666666666,0.2857142857142857,0.04742268041237114,0.6045287598039889,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
120,0.1,0.0,0.16666666666666666,0.07142857142857142,0.04742268041237114,0.6045287598039889,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
121,0.0,1.0,0.0,0.0,0.0,0.3065983636676294,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
122,0.1,0.0,0.33333333333333337,0.21428571428571427,0.0577319587628866,0.7413242406362351,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
123,0.1,0.0,0.6666666666666666,0.5,0.29896907216494845,0.6382526944270528,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
124,0.4,0.5,0.6666666666666666,0.2857142857142857,0.1443298969072165,0.7086321819277417,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
125,0.0,0.5,0.5,0.14285714285714285,0.030927835051546393,0.6372660829064232,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
126,0.0,0.0,0.16666666666666666,0.07142857142857142,0.020618556701030927,0.5380047818054494,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
127,0.0,0.5,0.16666666666666666,0.07142857142857142,0.0041237113402061865,0.4743652029231461,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
128,0.1,0.5,0.16666666666666666,0.07142857142857142,0.012371134020618558,0.5008778876492889,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
129,0.5000000000000001,1.0,0.6666666666666666,0.5,0.42886597938144333,0.6281083690469352,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
130,0.0,0.5,0.33333333333333337,0.07142857142857142,0.012371134020618558,0.3983043231997646,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
131,0.0,0.0,0.33333333333333337,0.14285714285714285,0.006185567010309279,0.6661652054935222,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
132,0.20000000000000004,0.0,0.16666666666666666,0.2857142857142857,0.24329896907216497,0.5151679419083086,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
133,0.0,0.0,0.0,0.0,0.0,0.16830506827246536,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
134,0.0,1.0,0.33333333333333337,0.07142857142857142,0.016494845360824743,0.8401815632801368,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
135,0.0,0.5,0.0,0.0,0.0,0.5690984438548677,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
136,0.0,0.5,0.0,0.0,0.0,0.4996694714361969,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
137,0.20000000000000004,0.5,0.5,0.3571428571428571,0.024742268041237116,0.6372621342490983,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
138,0.0,0.0,0.16666666666666666,0.07142857142857142,0.008247422680412371,0.8987086390043302,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
139,0.0,0.0,0.0,0.0,0.0,0.4563223690097191,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
140,0.0,0.5,0.33333333333333337,0.07142857142857142,0.15463917525773196,0.3524365865891591,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
141,0.0,0.5,0.5,0.07142857142857142,0.006185567010309279,0.3571786539152795,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
142,0.0,0.0,0.16666666666666666,0.07142857142857142,0.0041237113402061865,0.6561707787729322,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
143,0.0,0.0,0.33333333333333337,0.0,0.006185567010309279,0.6656515844746808,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
144,0.1,0.0,0.5,0.07142857142857142,0.024742268041237116,0.7552147403390798,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
145,0.1,0.0,0.33333333333333337,0.07142857142857142,0.008247422680412371,0.6353785481678589,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
146,0.0,0.0,0.0,0.0,0.006185567010309279,0.48149121387312566,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
147,0.1,0.5,0.5,0.2857142857142857,0.24536082474226806,0.5781766072061884,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
148,0.20000000000000004,0.0,0.5,0.2857142857142857,0.07835051546391752,0.1355464098296789,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
149,0.20000000000000004,1.0,0.5,0.4285714285714286,0.14845360824742268,0.5585881061897979,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
150,0.30000000000000004,0.5,0.6666666666666666,0.4285714285714286,0.3175257731958763,0.7347420683514717,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
